"pset";"nrep";"Choice_type";"cond_names";"performance"
2;90;1;"BVP2";0.911111111111111
2;91;1;"BVP2";0.8
2;92;1;"BVP2";0.788888888888889
2;93;1;"BVP2";0.844444444444444
2;94;1;"BVP2";0.811111111111111
2;95;1;"BVP2";0.833333333333333
2;96;1;"BVP2";0.9
2;97;1;"BVP2";0.855555555555556
2;98;1;"BVP2";0.833333333333333
2;99;1;"BVP2";0.822222222222222
2;100;1;"BVP2";0.844444444444444
3;1;1;"BPV1";0.844444444444445
3;2;1;"BPV1";0.9
3;3;1;"BPV1";0.766666666666667
3;4;1;"BPV1";0.755555555555555
3;5;1;"BPV1";0.9
3;6;1;"BPV1";0.811111111111111
3;7;1;"BPV1";0.744444444444444
3;8;1;"BPV1";0.877777777777778
3;9;1;"BPV1";0.877777777777778
3;10;1;"BPV1";0.733333333333333
3;11;1;"BPV1";0.755555555555555
3;12;1;"BPV1";0.7
3;13;1;"BPV1";0.855555555555555
3;14;1;"BPV1";0.7
3;15;1;"BPV1";0.622222222222222
